time,temp,dwpt,rhum,prcp,wspd,wdir,pres
2021-01-01 00:00:00,25.333333333333332,9.166666666666666,36.666666666666664,0.0,9.133333333333333,316.6666666666667,1011.9
2021-01-01 01:00:00,24.46666666666667,9.433333333333334,39.0,0.0,11.066666666666665,310.0,1012.4666666666667
2021-01-01 02:00:00,24.599999999999998,7.8999999999999995,36.0,0.0,14.200000000000001,310.0,1012.9333333333334
2021-01-01 03:00:00,22.53333333333333,9.666666666666666,44.0,0.0,13.0,326.6666666666667,1013.1999999999999
2021-01-01 04:00:00,22.2,9.233333333333333,43.666666666666664,0.0,12.4,326.6666666666667,1013.1333333333333
2021-01-01 05:00:00,22.066666666666666,8.4,41.666666666666664,0.0,16.0,310.0,1012.6666666666666
2021-01-01 06:00:00,21.53333333333333,8.0,42.0,0.0,14.200000000000001,310.0,1012.4333333333334
2021-01-01 07:00:00,20.933333333333334,8.266666666666667,44.333333333333336,0.0,14.200000000000001,303.3333333333333,1012.6999999999999
2021-01-01 08:00:00,19.333333333333332,9.299999999999999,54.333333333333336,0.0,10.0,263.3333333333333,1013.1666666666666
2021-01-01 09:00:00,18.96666666666667,8.5,52.0,0.0,6.733333333333333,293.3333333333333,1013.9
2021-01-01 10:00:00,19.400000000000002,9.5,54.0,0.0,6.133333333333333,263.3333333333333,1014.5666666666666
2021-01-01 11:00:00,22.46666666666667,9.200000000000001,43.0,0.0,8.666666666666666,270.0,1015.2333333333332
2021-01-01 12:00:00,24.833333333333332,9.133333333333333,37.0,0.0,9.866666666666667,256.6666666666667,1015.3000000000001
2021-01-01 13:00:00,27.166666666666668,9.799999999999999,33.666666666666664,0.0,12.4,256.6666666666667,1015.4
2021-01-01 14:00:00,29.2,10.633333333333333,31.666666666666668,0.0,14.199999999999998,233.33333333333334,1015.3666666666667
2021-01-01 15:00:00,30.566666666666666,10.700000000000001,29.333333333333332,0.0,11.066666666666668,243.33333333333334,1015.2666666666668
2021-01-01 16:00:00,31.833333333333332,10.700000000000001,27.333333333333332,0.0,10.466666666666667,256.6666666666667,1015.0666666666666
2021-01-01 17:00:00,31.766666666666666,12.466666666666667,32.0,0.0,14.766666666666666,173.33333333333334,1014.8000000000001
2021-01-01 18:00:00,31.666666666666668,13.233333333333334,34.0,0.0,12.966666666666667,173.33333333333334,1014.1666666666666
2021-01-01 19:00:00,32.06666666666667,14.299999999999999,35.666666666666664,0.0,12.266666666666667,193.33333333333334,1013.5
2021-01-01 20:00:00,31.666666666666668,13.766666666666666,34.666666666666664,0.0,11.200000000000001,159.33333333333334,1013.1999999999999
2021-01-01 21:00:00,31.200000000000003,15.566666666666668,41.0,0.0,10.0,180.0,1013.0
2021-01-01 22:00:00,30.400000000000002,16.033333333333335,44.0,0.0,9.4,286.6666666666667,1013.1666666666666
2021-01-01 23:00:00,28.066666666666666,17.0,52.333333333333336,0.0,17.3,100.0,1014.0666666666666
2021-01-02 00:00:00,25.833333333333332,17.066666666666666,59.0,0.0,18.5,76.66666666666667,1014.9
2021-01-02 01:00:00,24.96666666666667,16.900000000000002,61.0,0.0,16.099999999999998,83.33333333333333,1015.5333333333333
2021-01-02 02:00:00,24.333333333333332,16.666666666666668,62.333333333333336,0.0,12.399999999999999,83.33333333333333,1016.0333333333333
2021-01-02 03:00:00,24.433333333333334,15.466666666666669,57.333333333333336,0.0,12.4,173.33333333333334,1016.1
2021-01-02 04:00:00,23.766666666666666,16.133333333333336,62.666666666666664,0.0,10.6,166.66666666666666,1016.1999999999999
2021-01-02 05:00:00,23.666666666666668,15.133333333333335,59.0,0.0,15.4,166.66666666666666,1016.0
2021-01-02 06:00:00,22.866666666666664,14.533333333333333,59.333333333333336,0.0,15.4,166.66666666666666,1015.8000000000001
2021-01-02 07:00:00,22.7,14.866666666666667,61.333333333333336,0.0,11.799999999999999,153.33333333333334,1015.9333333333334
2021-01-02 08:00:00,22.599999999999998,14.166666666666666,59.0,0.0,11.199999999999998,153.33333333333334,1015.9333333333334
2021-01-02 09:00:00,22.266666666666666,14.766666666666666,62.666666666666664,0.0,10.0,153.33333333333334,1016.0666666666666
2021-01-02 10:00:00,23.266666666666666,15.233333333333334,60.666666666666664,0.0,10.0,153.33333333333334,1016.3333333333334
2021-01-02 11:00:00,24.8,15.9,57.666666666666664,0.0,9.266666666666667,140.0,1016.6333333333333
2021-01-02 12:00:00,25.96666666666667,16.466666666666665,56.0,0.0,9.4,130.0,1016.6999999999999
2021-01-02 13:00:00,27.166666666666668,16.566666666666666,52.666666666666664,0.0,10.0,140.0,1016.4666666666667
2021-01-02 14:00:00,28.8,16.366666666666667,48.0,0.0,7.466666666666666,243.33333333333334,1016.1999999999999
2021-01-02 15:00:00,30.100000000000005,16.3,44.666666666666664,0.0,10.0,250.0,1015.7333333333332
2021-01-02 16:00:00,30.866666666666664,15.033333333333333,40.0,0.0,7.466666666666666,230.0,1015.1999999999999
2021-01-02 17:00:00,31.76666666666667,15.433333333333332,38.666666666666664,0.0,10.6,130.0,1014.8666666666667
2021-01-02 18:00:00,32.06666666666667,15.066666666666665,36.666666666666664,0.0,11.799999999999999,153.33333333333334,1014.3333333333334
2021-01-02 19:00:00,32.36666666666667,13.066666666666668,31.666666666666668,0.0,13.0,140.0,1013.9
2021-01-02 20:00:00,33.1,12.066666666666668,28.0,0.0,13.0,143.33333333333334,1013.0
2021-01-02 21:00:00,32.4,11.166666666666666,28.333333333333332,0.0,13.6,160.0,1012.6333333333333
2021-01-02 22:00:00,31.100000000000005,14.5,40.333333333333336,0.0,15.466666666666667,70.0,1012.4
